INSTNM,MD_EARN_WNE_P10,PCT10_EARN_WNE_P10,PCT25_EARN_WNE_P10,PCT75_EARN_WNE_P10,PCT90_EARN_WNE_P10
Alabama A & M University,40628.0,6700,23030.0,60507.0,70000
University of Alabama at Birmingham,54501.0,10900,33873.0,80711.0,84000
Amridge University,37621.0,6800,21760.0,57946.0,79500
University of Alabama in Huntsville,61767.0,12900,37446.0,91119.0,93300
Alabama State University,34502.0,7100,18132.0,51026.0,55400
The University of Alabama,59221.0,13100,39848.0,87405.0,85000
Central Alabama Community College,33506.0,7000,18635.0,50656.0,58800
Athens State University,50273.0,12600,33492.0,70554.0,74000
Auburn University at Montgomery,44391.0,9500,26860.0,63615.0,66300
Auburn University,65337.0,13800,43620.0,95597.0,91400
Birmingham-Southern College,59481.0,9800,33426.0,92516.0,77600
Chattahoochee Valley Community College,36438.0,5500,20404.0,52873.0,58700
South University-Montgomery,34421.0,7100,17463.0,53014.0,67200
Enterprise State Community College,42572.0,5700,21710.0,71583.0,58700
Coastal Alabama Community College,34894.0,5100,18526.0,54820.0,59500
Faulkner University,43457.0,9800,25494.0,64288.0,80700
Gadsden State Community College,32937.0,5600,17231.0,51839.0,58300
George C Wallace Community College-Dothan,31399.0,7100,16986.0,49632.0,64200
George C Wallace State Community College-Hanceville,39842.0,4900,22380.0,58549.0,57100
George C Wallace State Community College-Selma,31598.0,6100,15581.0,49326.0,57100
Herzing University-Birmingham,36909.0,12300,19077.0,56514.0,77200
Huntingdon College,49601.0,9100,34151.0,71130.0,73200
J. F. Drake State Community and Technical College,28281.0,7000,13620.0,45400.0,49500
Jacksonville State University,45235.0,9000,28035.0,64633.0,64200
Jefferson State Community College,40719.0,8000,24505.0,62034.0,61200
John C Calhoun State Community College,38192.0,6000,21172.0,57398.0,62800
Lawson State Community College,31701.0,6100,15415.0,47563.0,51500
University of West Alabama,44232.0,8500,27937.0,62576.0,63700
Lurleen B Wallace Community College,32307.0,7900,17935.0,49606.0,60100
Marion Military Institute,59644.0,PS,34500.0,83934.0,PS
Miles College,32627.0,6400,17195.0,47772.0,51200
University of Mobile,43611.0,9600,28429.0,59995.0,73400
University of Montevallo,42957.0,9900,25530.0,56437.0,62300
Northwest Shoals Community College,33828.0,5900,17252.0,51875.0,59300
University of North Alabama,45415.0,9800,28413.0,64932.0,68400
Northeast Alabama Community College,34913.0,5300,19863.0,53108.0,58100
Oakwood University,42488.0,7900,23113.0,67182.0,75600
Reid State Technical College,28982.0,5200,15362.0,48258.0,45700
Bishop State Community College,29916.0,5900,15254.0,47250.0,54300
Samford University,58469.0,12600,38802.0,91693.0,124000
Shelton State Community College,35014.0,4800,19005.0,52090.0,55800
Snead State Community College,35735.0,5500,17797.0,54322.0,52700
University of South Alabama,49379.0,10500,30000.0,73471.0,78800
Spring Hill College,51500.0,15500,32496.0,72223.0,84300
Stillman College,35421.0,5100,18957.0,53304.0,51500
Talladega College,32229.0,4300,17337.0,48588.0,53300
H Councill Trenholm State Community College,32183.0,5200,16879.0,48592.0,49200
Troy University,42062.0,9700,24464.0,61119.0,70800
Tuskegee University,49641.0,9200,26919.0,78316.0,81200
United States Sports University,55257.0,PS,37678.0,77067.0,PS
Bevill State Community College,34107.0,6100,17891.0,51517.0,57300
University of Alaska Anchorage,51871.0,7600,28505.0,80117.0,84200
University of Alaska Fairbanks,48866.0,6600,25153.0,74202.0,81500
University of Alaska Southeast,48475.0,9000,28669.0,67290.0,74300
Alaska Pacific University,54271.0,10800,29511.0,79869.0,85000
Alaska Vocational Technical Center,51083.0,PS,26114.0,80768.0,PS
Charter College,35504.0,6900,17972.0,50705.0,86700
Alaska Career College,34468.0,4300,12733.0,51381.0,55400
Empire Beauty School-Tucson,25073.0,2500,10829.0,39642.0,50000
Carrington College-Phoenix North,36718.0,4000,20311.0,51422.0,52500
Carrington College-Mesa,36718.0,4000,20311.0,51422.0,52500
Carrington College-Tucson,36718.0,4000,20311.0,51422.0,52500
Arizona Academy of Beauty,21201.0,PS,8808.0,35063.0,PS
Miller-Motte College-Arizona Automotive Institute,31102.0,2400,15775.0,47146.0,44700
Brookline College-Phoenix,29576.0,3300,13467.0,43497.0,44000
Arizona State University Campus Immersion,62668.0,12900,40826.0,92934.0,93300
Arizona Western College,36857.0,5800,21521.0,55402.0,57600
University of Arizona,59979.0,12100,38990.0,92199.0,99400
Central Arizona College,40513.0,5300,22583.0,59797.0,59800
Charles of Italy Beauty College,26269.0,PS,11507.0,36718.0,PS
Cochise County Community College District,38033.0,7300,21259.0,56203.0,74600
Empire Beauty School-Chandler,23921.0,3000,10818.0,39242.0,41500
Avalon Institute-Mesa,30803.0,3700,14464.0,45252.0,42600
Eastern Arizona College,38018.0,5000,19056.0,59863.0,67500
Embry-Riddle Aeronautical University-Prescott,84131.0,22400,55392.0,112155.0,115500
Glendale Community College,43108.0,6900,25030.0,64127.0,69300
Grand Canyon University,42186.0,11100,21881.0,68589.0,96100
GateWay Community College,46147.0,5600,24066.0,70735.0,71800
Mesa Community College,44034.0,6900,23692.0,66054.0,77700
Mohave Community College,35522.0,4800,19358.0,55127.0,62300
Universal Technical Institute-Phoenix,48341.0,7100,29394.0,68153.0,64200
Dine College,29188.0,3500,14734.0,44246.0,45700
Northern Arizona University,54384.0,10300,35991.0,78281.0,77800
Northland Pioneer College,34199.0,3700,18312.0,53305.0,54700
Phoenix College,40870.0,6300,22612.0,60125.0,65400
Pima Community College,39810.0,6300,22093.0,60052.0,66100
Pima Medical Institute-Tucson,38673.0,4300,21337.0,55482.0,53300
Prescott College,42359.0,7100,19444.0,61057.0,63500
Refrigeration School Inc,52953.0,6200,33558.0,76444.0,73300
Rio Salado College,41015.0,5600,19411.0,63730.0,75000
Roberto-Venn School of Luthiery,35209.0,PS,16769.0,53726.0,PS
Scottsdale Community College,47905.0,6500,25831.0,74039.0,80000
South Mountain Community College,39825.0,5300,20741.0,57129.0,54300
Arizona Christian University,51612.0,5600,30988.0,72457.0,52100
Universal Technical Institute of Arizona Inc,52873.0,12500,33274.0,74276.0,78900
Yavapai College,39890.0,5700,19769.0,62865.0,67000
University of Arkansas at Little Rock,45265.0,9400,28588.0,67515.0,70000
University of Arkansas for Medical Sciences,73827.0,24500,52014.0,113198.0,128000
Arkansas Baptist College,28418.0,5900,13142.0,44142.0,42400
Arkansas Beauty School-Little Rock,18078.0,PS,9065.0,31081.0,PS
Lyon College,44232.0,12600,29991.0,61811.0,71300
Arkansas Technical School,16209.0,PS,6850.0,35021.0,PS
University of Arkansas,58191.0,13000,36435.0,87469.0,87200
University of Arkansas at Pine Bluff,35550.0,6700,19942.0,50676.0,58000
Arkansas State University-Beebe,36603.0,PS,20028.0,52250.0,PS
Arkansas State University,42617.0,7600,26452.0,61266.0,67100
Arkansas Tech University,41766.0,8800,25501.0,61055.0,69600
University of Arkansas at Monticello,36902.0,8800,21557.0,53816.0,68500
Arthur's Beauty College,21954.0,1500,11150.0,37383.0,34500
Baptist Health College Little Rock,62244.0,8300,38474.0,86463.0,73300
Black River Technical College,34818.0,5100,19002.0,53098.0,55100
University of Central Arkansas,45938.0,9900,28642.0,65378.0,73600
Central Baptist College,46789.0,10300,29462.0,65716.0,67100
Cossatot Community College of the University of Arkansas,33775.0,5300,18217.0,52762.0,50900
Crowley's Ridge College,39533.0,PS,25001.0,51374.0,PS
East Arkansas Community College,28471.0,4400,14123.0,46126.0,50600
Paul Mitchell the School-Little Rock,24765.0,PS,10622.0,37567.0,PS
National Park College,32444.0,4400,15042.0,50968.0,53200
University of Arkansas Community College-Batesville,33706.0,4600,18169.0,52056.0,55800
Harding University,52876.0,9000,34804.0,76562.0,77800
Henderson State University,43459.0,10100,27855.0,60051.0,67300
Hendrix College,60376.0,11900,37323.0,84322.0,75800
Jefferson Regional School of Nursing,73975.0,PS,49340.0,100154.0,PS
John Brown University,53907.0,11800,36159.0,85072.0,106800
Career Academy of Hair Design,21567.0,PS,10741.0,39917.0,PS
Academy of Salon and Spa,16941.0,PS,7805.0,31125.0,PS
Arkansas State University Mid-South,31857.0,5900,16675.0,49159.0,43100
Arkansas Northeastern College,33169.0,4600,17754.0,51559.0,55000
North Arkansas College,34653.0,4400,18671.0,52397.0,53400
Northwest Technical Institute,41513.0,6800,15411.0,57121.0,53800
Ouachita Baptist University,51673.0,8500,34167.0,70232.0,77700
Arkansas State University Three Rivers,37374.0,4600,20799.0,58598.0,50400
Ozarka College,29314.0,3600,15082.0,46844.0,54000
University of the Ozarks,44384.0,3600,32523.0,60124.0,62900
University of Arkansas Community College-Morrilton,34924.0,5300,19866.0,54112.0,55500
Philander Smith University,38427.0,6200,19226.0,51858.0,57200
Phillips Community College of the University of Arkansas,29552.0,4500,16211.0,44484.0,46800
Southeast Arkansas College,33603.0,5400,17558.0,48845.0,57000
University of Aesthetics & Cosmetology,26754.0,PS,12286.0,35518.0,PS
University of Arkansas-Pulaski Technical College,34722.0,6200,17962.0,50750.0,57000
University of Arkansas Hope-Texarkana,34162.0,3700,18811.0,51602.0,54400
University of Arkansas Community College Rich Mountain,30037.0,3900,14624.0,44339.0,46300
Paul Mitchell the School-Arkansas,20077.0,PS,9599.0,37880.0,PS
Searcy Beauty College,19896.0,PS,7998.0,33329.0,PS
Williams Baptist University,38484.0,8400,24778.0,50005.0,61900
South Arkansas College,34521.0,5700,19494.0,51862.0,57500
Southern Arkansas University Main Campus,42386.0,9800,25370.0,61851.0,70600
Southern Arkansas University Tech,36376.0,4600,22702.0,54919.0,53300
University of Arkansas-Fort Smith,41102.0,6000,24344.0,61170.0,62300
Academy of Art University,39008.0,5900,17463.0,65466.0,90600
College of Alameda,42563.0,6400,17757.0,69921.0,75200
Allan Hancock College,42786.0,4500,23332.0,64073.0,64800
American Academy of Dramatic Arts-Los Angeles,27019.0,3700,11663.0,47036.0,58900
American Beauty College,22481.0,PS,10330.0,43375.0,PS
American Career College-Los Angeles,38430.0,6500,18624.0,57841.0,59200
American River College,40162.0,4500,18081.0,63989.0,69300
Antelope Valley Community College District,36526.0,4500,15992.0,60333.0,68300
Art Center College of Design,71958.0,7600,28421.0,125307.0,114700
Associated Technical College-Los Angeles,24368.0,4900,10025.0,40762.0,51900
Associated Technical College-San Diego,26688.0,1800,12393.0,41847.0,45400
Azusa Pacific University,66677.0,10100,38819.0,98212.0,92800
Bakersfield College,37291.0,4900,18322.0,59738.0,73000
Barstow Community College,35104.0,4200,14509.0,59767.0,70700
Bellus Academy-Chula Vista,23576.0,2800,11637.0,41432.0,37800
Biola University,56778.0,6000,32980.0,83447.0,84500
Brownson Technical School,68767.0,PS,44327.0,94118.0,PS
Bryan University,40283.0,PS,20815.0,61337.0,PS
Butte College,41810.0,4400,21955.0,65621.0,74200
California Institute of Integral Studies,48848.0,PS,20122.0,84435.0,PS
Cabrillo College,44114.0,6100,22686.0,70453.0,81800
California Baptist University,61504.0,8700,34450.0,88303.0,76500
California College of the Arts,49414.0,3300,18349.0,93969.0,100300
California Institute of Technology,128566.0,19900,78105.0,225460.0,189000
California Lutheran University,68712.0,13200,44592.0,96084.0,96300
California Polytechnic State University-San Luis Obispo,90768.0,15700,58977.0,132118.0,112300
Alliant International University-San Diego,66666.0,12000,36440.0,86915.0,103900
California State University-Bakersfield,59009.0,11500,34128.0,84724.0,81900
California State University-Stanislaus,63188.0,9000,39410.0,86094.0,75100
California State University-San Bernardino,59977.0,10000,36326.0,83589.0,81000
California State Polytechnic University-Pomona,71902.0,12700,45083.0,100593.0,96700
California State University-Chico,64172.0,11100,41693.0,95212.0,91400
California State University-Dominguez Hills,57162.0,9700,33459.0,82789.0,80600
California State University-Fresno,61244.0,10000,38091.0,84801.0,83800
California State University-Fullerton,62951.0,10800,39060.0,89304.0,88000
California State University-East Bay,71401.0,10800,45094.0,103383.0,97900
California State University-Long Beach,64403.0,11400,38902.0,91639.0,88000
California State University-Los Angeles,59211.0,11700,36906.0,83961.0,81700
California State University-Northridge,59115.0,9800,34394.0,85290.0,84800
California State University-Sacramento,64876.0,11900,43257.0,89789.0,90700
University of California-Berkeley,92446.0,16200,58247.0,153111.0,149700
University of California-Davis,80838.0,16900,53021.0,122634.0,117500
University of California-Irvine,80735.0,15600,54469.0,117372.0,108500
University of California-Los Angeles,82511.0,13900,55896.0,126452.0,128000
University of California-Riverside,67699.0,12600,42680.0,95385.0,92800
University of California-San Diego,84943.0,17800,57071.0,127245.0,122700
University of California-Santa Barbara,74915.0,13500,49095.0,111078.0,104800
University of California-Santa Cruz,68396.0,10900,41808.0,102779.0,90100
California Beauty College,22255.0,PS,9497.0,38291.0,PS
California Hair Design Academy,19347.0,3600,8126.0,40931.0,46200
California Institute of the Arts,41198.0,5400,13878.0,89495.0,96900
California State University Maritime Academy,94784.0,18800,63941.0,134253.0,141200
Canada College,50087.0,3800,24614.0,79202.0,72800
College of the Canyons,49022.0,5400,25065.0,76659.0,79400
Career Academy of Beauty,24410.0,4200,11152.0,44132.0,45700
Casa Loma College-Los Angeles,49854.0,10000,24231.0,76711.0,84600
CET-San Diego,32986.0,4100,14618.0,53343.0,45700
CET-San Jose,32986.0,4100,14618.0,53343.0,45700
CET-El Centro,32986.0,4100,14618.0,53343.0,45700
CET-Colton,32986.0,4100,14618.0,53343.0,45700
CET-Watsonville,32986.0,4100,14618.0,53343.0,45700
CET-Salinas,32986.0,4100,14618.0,53343.0,45700
Cerritos College,41156.0,6900,21330.0,62798.0,67000
Cerro Coso Community College,34963.0,3500,15774.0,56453.0,69800
Chabot College,48143.0,6100,21585.0,74815.0,77300
Chaffey College,42975.0,5900,21044.0,66788.0,64300
Chapman University,70070.0,10700,42691.0,100753.0,90100
Charles R Drew University of Medicine and Science,83438.0,7900,46338.0,133748.0,136200
Concordia University-Irvine,65083.0,8600,39043.0,96875.0,84300
San Diego Christian College,49766.0,3600,22595.0,80011.0,75800
Citrus College,42065.0,5300,21333.0,66016.0,65100
City College of San Francisco,45805.0,6900,18346.0,77127.0,90000
Claremont Graduate University,64372.0,PS,50657.0,94099.0,PS
Claremont McKenna College,104736.0,18200,66067.0,182223.0,164000
Milan Institute-Visalia,32493.0,2700,15177.0,44751.0,54700
Clovis Adult Education,50098.0,5300,29416.0,68443.0,64000
Coastline Community College,44483.0,4500,16849.0,70803.0,71400
Coba Academy,21208.0,PS,12347.0,43414.0,PS
Columbia College,39035.0,2700,17705.0,58863.0,66500
California College of ASU,42014.0,PS,18032.0,64671.0,PS
Contra Costa College,40850.0,3700,17990.0,67264.0,72600
Cosumnes River College,42446.0,4800,20282.0,65187.0,66000
Crafton Hills College,42553.0,5500,23387.0,65439.0,71300
Cuesta College,46047.0,5500,22243.0,73541.0,79000
Cuyamaca College,32435.0,4900,13201.0,57755.0,63200
Cypress College,43533.0,6000,21841.0,67477.0,74800
De Anza College,56596.0,8400,27991.0,87640.0,98700
College of the Desert,39020.0,6200,20036.0,58937.0,65400
Design Institute of San Diego,46920.0,2800,24270.0,75601.0,66700
Diablo Valley College,51378.0,5700,24960.0,82989.0,87800
Dominican University of California,84713.0,9700,54435.0,132065.0,124200
East Los Angeles College,42006.0,8000,21287.0,63706.0,69100
El Camino Community College District,41589.0,5900,19739.0,64198.0,71000
Empire College,43090.0,6100,16876.0,61500.0,64500
Evergreen Valley College,53077.0,5500,27259.0,79702.0,76200
FIDM-Fashion Institute of Design & Merchandising,49840.0,5300,23458.0,78848.0,79100
Feather River Community College District,38142.0,4400,17691.0,58787.0,58900
Federico Beauty Institute,29856.0,2300,7923.0,51671.0,52000
Foothill College,57072.0,7300,30054.0,100193.0,117600
Fredrick and Charles Beauty College,21826.0,PS,11631.0,39908.0,PS
Fresno City College,37361.0,4800,19546.0,57745.0,62400
Fresno Pacific University,58896.0,7600,36450.0,81151.0,73300
Fullerton College,43366.0,5300,21878.0,67846.0,72600
Gavilan College,47169.0,4600,25120.0,73905.0,67200
Gemological Institute of America-Carlsbad,42588.0,13700,18379.0,93306.0,82700
Glendale Community College,41540.0,5800,18749.0,69451.0,71200
Glendale Career College,41472.0,4500,22023.0,66073.0,56800
Golden Gate University,87434.0,18200,50211.0,133774.0,122800
Golden West College,43145.0,5200,19505.0,72461.0,79600
Grossmont College,40309.0,5500,18619.0,63990.0,77500
Salon Success Academy-Riverside,21777.0,PS,8163.0,39380.0,PS
Hartnell College,44316.0,5700,23484.0,65949.0,67000
Harvey Mudd College,138687.0,24500,79299.0,208094.0,146900
Hilltop Beauty School,25477.0,PS,10885.0,50776.0,PS
California State Polytechnic University-Humboldt,47626.0,7100,27312.0,69390.0,73900
Humphreys University-Stockton and Modesto Campuses,39248.0,4600,19100.0,58278.0,62500
Imperial Valley College,34487.0,4200,15901.0,56234.0,65500
Institute for Business and Technology,38015.0,4600,17914.0,62402.0,71900
Interior Designers Institute,54974.0,PS,22200.0,81109.0,PS
Irvine Valley College,49156.0,6000,23055.0,81620.0,85500
Bellus Academy-El Cajon,30807.0,3500,13333.0,45347.0,42000
American Jewish University,61954.0,PS,19756.0,71977.0,PS
Reedley College,38493.0,4900,20078.0,59641.0,57500
Life Pacific University,43299.0,5200,26248.0,68649.0,72800
University of La Verne,65464.0,13200,41064.0,90462.0,96200
Laguna College of Art and Design,47867.0,PS,23848.0,75920.0,PS
Lake Tahoe Community College,36657.0,5500,17688.0,59653.0,69200
Lancaster Beauty School,16220.0,3800,5476.0,29233.0,40600
Laney College,37282.0,5100,15020.0,63037.0,68900
Lassen Community College,35994.0,2800,17092.0,58788.0,59700
Southern California Seminary,39607.0,PS,21065.0,75585.0,PS
La Sierra University,61824.0,6600,37425.0,91365.0,87100
Loma Linda University,89816.0,22600,57445.0,123223.0,133800
Long Beach City College,38870.0,4700,17653.0,61089.0,64600
Los Angeles Harbor College,41133.0,5000,19721.0,62739.0,73100
Los Angeles Pierce College,44521.0,5300,22176.0,68724.0,80200
Los Angeles Southwest College,32172.0,5200,14300.0,52338.0,61700
Los Angeles Trade Technical College,35233.0,5500,14787.0,59191.0,65300
Los Angeles Valley College,42678.0,5400,18627.0,68612.0,74500
The Master's University and Seminary,57106.0,6600,30389.0,83256.0,90600
Los Angeles City College,36190.0,4200,15299.0,60161.0,65300
Los Angeles County College of Nursing and Allied Health,115318.0,32600,80614.0,139619.0,123100
Los Angeles Mission College,39834.0,6600,19682.0,61597.0,61700
Los Medanos College,42454.0,4000,18711.0,71019.0,79900
Loyola Marymount University,78349.0,17300,48957.0,115071.0,113000
Lyle's College of Beauty,25913.0,2900,11150.0,39254.0,39900
Lyle's College of  Beauty,25913.0,2900,11150.0,39254.0,39900
Lytles Redwood Empire Beauty College,20358.0,PS,7940.0,42198.0,PS
MTI College,45328.0,4900,20471.0,65132.0,82000
College of Marin,42654.0,4600,15769.0,72201.0,86000
Mendocino College,40243.0,2400,19706.0,61753.0,58500
Menlo College,76419.0,11000,42007.0,118127.0,115800
Merced College,37815.0,3900,18554.0,57608.0,59600
Merritt College,44392.0,3400,18400.0,70228.0,76900
Northeastern University Oakland,92538.0,18800,61560.0,135313.0,112700
MiraCosta College,43845.0,3800,22652.0,64861.0,61500
Mission College,50936.0,6900,22795.0,83348.0,81000
Modern Beauty Academy,22477.0,PS,8620.0,39615.0,PS
Modesto Junior College,42368.0,4300,21726.0,67363.0,67300
Middlebury Institute of International Studies at Monterey,76310.0,13900,48442.0,124474.0,165400
Monterey Peninsula College,42176.0,5100,20949.0,66996.0,82700
Moorpark College,49044.0,6700,25065.0,78885.0,89000
Mt San Antonio College,46283.0,6300,24186.0,72797.0,77800
Mount Saint Mary's University,72379.0,14300,44640.0,114343.0,103700
Mt San Jacinto Community College District,38319.0,4100,17848.0,61640.0,66500
Musicians Institute,32778.0,3500,11610.0,56445.0,65100
Napa Valley College,49517.0,5200,26176.0,77596.0,87000
National Holistic Institute,27978.0,3800,11099.0,50924.0,68400
National University,67548.0,11200,42112.0,100253.0,91100
Newschool of Architecture and Design,68891.0,PS,45089.0,89596.0,PS
North Adrian's College of Beauty Inc,27269.0,PS,8660.0,42868.0,PS
North-West College-Pomona,39876.0,3200,21682.0,61278.0,43000
North-West College-West Covina,37542.0,4700,16531.0,57455.0,50500
North-West College-Van Nuys,32488.0,3100,16771.0,55812.0,58800
Notre Dame de Namur University,74576.0,12100,46641.0,108134.0,96200
Occidental College,75951.0,11000,53141.0,105789.0,94200
Ohlone College,54278.0,6600,24991.0,86624.0,97800
Orange Coast College,47348.0,6000,23991.0,75013.0,79100
Otis College of Art and Design,58152.0,8400,24657.0,89129.0,101500
Oxnard College,41393.0,5900,22860.0,60859.0,59500
Hope International University,49697.0,6000,28526.0,66867.0,73700
Concorde Career College-San Diego,39169.0,3200,19751.0,58887.0,52400
Pacific Oaks College,52485.0,11300,29853.0,66594.0,59700
Pacific Union College,70484.0,9300,38738.0,111035.0,110900
University of the Pacific,78445.0,15900,50494.0,122307.0,154800
Palo Verde College,36389.0,4800,19181.0,53892.0,59300
Palomar College,42300.0,4800,20775.0,65187.0,74500
Pasadena City College,43937.0,6600,21490.0,68339.0,75100
Pepperdine University,82939.0,15200,55698.0,126331.0,137800
Pitzer College,69512.0,13200,32990.0,95186.0,90700
Point Loma Nazarene University,63998.0,11400,37877.0,93468.0,90300
Pomona College,77779.0,17200,44975.0,118516.0,133700
Porterville College,36328.0,4000,17455.0,56152.0,64400
Professional Institute of Beauty,16886.0,PS,6504.0,36123.0,PS
Santa Ana College,43552.0,6600,25029.0,65265.0,74900
University of Redlands,72690.0,13900,44770.0,100345.0,97100
College of the Redwoods,36243.0,3600,16260.0,56698.0,62100
Salon Success Academy-Upland,26956.0,PS,10535.0,43469.0,PS
Salon Success Academy-Corona,22412.0,PS,9573.0,39063.0,PS
Rio Hondo College,44950.0,6400,25321.0,67890.0,71700
Riverside City College,41091.0,5600,20998.0,63424.0,70700
Sacramento City College,42214.0,5300,20695.0,64855.0,69900
Saddleback College,50874.0,5000,25549.0,78724.0,88900
Samuel Merritt University,143238.0,30700,104570.0,182822.0,194400
San Diego City College,38503.0,4100,17991.0,58814.0,62200
San Diego Mesa College,45120.0,5900,20924.0,71725.0,78100
San Diego Miramar College,48224.0,6400,24293.0,74555.0,80900
San Diego State University,64909.0,12600,39563.0,94570.0,92000
University of San Diego,86522.0,14500,56511.0,125761.0,113700
San Francisco State University,68077.0,10300,38781.0,100910.0,92900
University of San Francisco,89812.0,18000,55032.0,140551.0,122100
San Joaquin Delta College,43212.0,5100,21498.0,66072.0,66300
San Joaquin Valley College-Visalia,38317.0,5400,19423.0,60326.0,61500
San Joaquin Valley College-Bakersfield,38317.0,5400,19423.0,60326.0,61500
William Jessup University,56257.0,5800,30885.0,79790.0,73400
San Jose City College,46215.0,5700,21025.0,74293.0,71100
San Jose State University,78988.0,13200,48356.0,115546.0,107600
College of San Mateo,54172.0,7100,26816.0,93903.0,91400
Santa Barbara City College,47647.0,5200,23778.0,74712.0,80600
Santa Clara University,109183.0,21600,70946.0,160882.0,139000
Santa Monica College,42193.0,5900,19286.0,66062.0,77100
Santa Rosa Junior College,47224.0,4800,22513.0,74791.0,84100
Scripps College,77539.0,9700,50918.0,112196.0,95900
College of the Sequoias,39092.0,4500,20220.0,60883.0,62300
Shasta College,39269.0,3200,20838.0,62173.0,64300
Sierra College,45294.0,4500,20983.0,71159.0,73300
Sierra College of Beauty,18519.0,PS,9563.0,33208.0,PS
Trinity Law School,46989.0,8800,29118.0,68518.0,76100
Simpson University,54340.0,5300,34449.0,81376.0,63200
College of the Siskiyous,39098.0,3300,17456.0,64002.0,64600
Charles A Jones Career and Education Center,41047.0,3000,17887.0,62184.0,55500
Skyline College,55702.0,6600,26216.0,85089.0,83900
San Bernardino Valley College,39676.0,4800,19215.0,61347.0,61700
Saint Mary's College of California,78812.0,15500,50156.0,121277.0,127400
Solano Community College,44170.0,5300,19907.0,72096.0,82000
Sonoma State University,65986.0,10900,42120.0,91892.0,89200
South Coast College,44897.0,2700,20446.0,67905.0,64900
Vanguard University of Southern California,59541.0,6800,33700.0,85469.0,90700
Concorde Career College-Garden Grove,45711.0,7200,28015.0,69578.0,72100
Southwestern College,40060.0,6800,20734.0,59678.0,66800
Southern California Institute of Architecture,71909.0,PS,45640.0,97763.0,PS
University of Southern California,92498.0,15800,58692.0,141338.0,143900
Taft College,38861.0,6300,21114.0,62302.0,79700
Thomas Aquinas College,55619.0,PS,22141.0,79990.0,PS
Epic Bible College & Graduate School,37822.0,PS,16540.0,60117.0,PS
UEI College-Huntington Park,31141.0,4600,13730.0,46425.0,51700
Concorde Career College-San Bernardino,39993.0,5900,21890.0,63222.0,56200
Concorde Career College-North Hollywood,50552.0,9300,28273.0,76284.0,78900
Ventura College,43430.0,5600,23425.0,66769.0,69600
Bridges Beauty College,17287.0,PS,7191.0,38029.0,PS
Victor Valley College,36119.0,3800,15917.0,60943.0,72600
Berkeley City College,41217.0,3000,16100.0,74426.0,70100
Walden University,42810.0,PS,22490.0,68123.0,PS
Coalinga College,37633.0,5000,18375.0,62067.0,62400
West Los Angeles College,38537.0,5700,16385.0,61620.0,66700
West Valley College,51688.0,5700,25974.0,81444.0,78100
Carrington College-Sacramento,39633.0,4100,18725.0,60075.0,55800
Westmont College,64778.0,11900,33002.0,97039.0,99100
Whittier College,59492.0,13700,37211.0,83711.0,85500
Woodbury University,65668.0,9500,38567.0,87865.0,90100
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,48361.0,PS,17254.0,88362.0,PS
Yuba College,39552.0,3800,18869.0,61097.0,69800
Adams State University,44372.0,9500,28262.0,64019.0,66100
Aims Community College,41887.0,6000,22156.0,63340.0,66800
Arapahoe Community College,48341.0,5700,26484.0,71609.0,76600
Bel-Rea Institute of Animal Technology,39506.0,7700,21738.0,52729.0,55700
University of Colorado Denver/Anschutz Medical Campus,64270.0,21700,40026.0,93795.0,157000
University of Colorado Colorado Springs,54659.0,10700,34957.0,81777.0,84800
Spartan College of Aeronautics and Technology,59093.0,8600,32466.0,82390.0,80100
University of Colorado Boulder,69738.0,12700,43748.0,103315.0,99400
Colorado Christian University,50416.0,10400,30894.0,78791.0,82900
Colorado College,65222.0,9100,39898.0,98182.0,84500
Concorde Career College-Aurora,42456.0,4200,23978.0,64451.0,59300
Colorado Mountain College,44127.0,5300,25082.0,68139.0,64400
Colorado Northwestern Community College,43526.0,8000,19844.0,68360.0,80400
Colorado School of Mines,97335.0,25400,69672.0,130454.0,136700
Colorado School of Trades,51591.0,5000,31637.0,72220.0,82800
Colorado State University-Fort Collins,60543.0,11700,40471.0,88212.0,89900
Colorado Technical University-Colorado Springs,37180.0,11800,18869.0,57737.0,101900
Community College of Aurora,44592.0,5500,23335.0,66759.0,69200
Technical College of the Rockies,45516.0,3900,23303.0,69393.0,62600
Community College of Denver,39095.0,3800,17100.0,60321.0,65200
Lincoln College of Technology-Denver,46396.0,6300,25586.0,66729.0,57900
University of Denver,71155.0,13000,45159.0,107151.0,105000
Emily Griffith Technical College,35487.0,4600,14357.0,54889.0,52200
Fort Lewis College,46349.0,7100,28571.0,68747.0,71900
Front Range Community College,45910.0,7600,25370.0,69407.0,72700
International Salon and Spa Academy,22332.0,2400,11526.0,41357.0,37100
Lamar Community College,38719.0,4900,20169.0,58927.0,60800
Colorado Mesa University,45823.0,8600,26727.0,67577.0,73500
Metropolitan State University of Denver,52093.0,8200,30445.0,75678.0,76500
Morgan Community College,39429.0,7300,19533.0,60969.0,61200
Naropa University,28720.0,2500,14346.0,51332.0,51400
Nazarene Bible College,41450.0,6500,24161.0,65007.0,76900
Northeastern Junior College,39893.0,7800,24493.0,60693.0,67600
University of Northern Colorado,52231.0,11100,35297.0,71676.0,74500
Otero College,39018.0,5100,21189.0,60668.0,58700
Pikes Peak State College,40796.0,4500,20985.0,61398.0,65600
Pueblo Community College,37434.0,4200,19266.0,57062.0,62400
